input shapes: (-1, 20, 10, 1) (1, 46) 
 [height_sum, hole_sum, combo, is_hold, 6 * 7 type] -> length = 43 
outer =   24 | pre-training avg score = 4590.100 | loss =  146.167 | mse =  146.167 | dataset size =   72183 | new dataset size =   12028 | time elapsed:  200.4 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   25 | pre-training avg score = 2440.100 | loss =  138.357 | mse =  138.357 | dataset size =   72197 | new dataset size =   12033 | time elapsed:  201.1 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   26 | pre-training avg score = 4720.100 | loss =  157.513 | mse =  157.513 | dataset size =   72220 | new dataset size =   12043 | time elapsed:  199.6 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   27 | pre-training avg score = 2325.050 | loss =  168.138 | mse =  168.138 | dataset size =   72221 | new dataset size =   12039 | time elapsed:  201.8 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   28 | pre-training avg score = 1865.100 | loss =  201.414 | mse =  201.414 | dataset size =   72214 | new dataset size =   12033 | time elapsed:  200.2 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   29 | pre-training avg score = 1650.050 | loss =  172.008 | mse =  172.008 | dataset size =   72247 | new dataset size =   12044 | time elapsed:  198.0 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   30 | pre-training avg score = 2335.100 | loss =  188.204 | mse =  188.204 | dataset size =   72218 | new dataset size =   12034 | time elapsed:  201.0 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   31 | pre-training avg score = 2365.000 | loss =  165.494 | mse =  165.494 | dataset size =   72228 | new dataset size =   12039 | time elapsed:  200.5 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   32 | pre-training avg score = 2260.050 | loss =  143.399 | mse =  143.399 | dataset size =   72213 | new dataset size =   12032 | time elapsed:  200.3 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   33 | pre-training avg score = 1760.100 | loss =  136.672 | mse =  136.672 | dataset size =   72246 | new dataset size =   12047 | time elapsed:  198.8 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   34 | pre-training avg score = 4880.100 | loss =  140.560 | mse =  140.560 | dataset size =   72205 | new dataset size =   12029 | time elapsed:  200.5 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   35 | pre-training avg score = 1246.767 | loss =  141.073 | mse =  141.073 | dataset size =   72237 | new dataset size =   12043 | time elapsed:  198.1 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   36 | pre-training avg score = 3990.100 | loss =  170.412 | mse =  170.412 | dataset size =   72251 | new dataset size =   12044 | time elapsed:  200.3 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   37 | pre-training avg score = 1905.050 | loss =  167.412 | mse =  167.412 | dataset size =   72200 | new dataset size =   12028 | time elapsed:  199.0 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   38 | pre-training avg score = 4800.100 | loss =  156.021 | mse =  156.021 | dataset size =   72217 | new dataset size =   12034 | time elapsed:  203.3 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   39 | pre-training avg score = 1830.100 | loss =  149.332 | mse =  149.332 | dataset size =   72220 | new dataset size =   12038 | time elapsed:  199.4 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   40 | pre-training avg score = 2440.100 | loss =  156.301 | mse =  156.301 | dataset size =   72211 | new dataset size =   12037 | time elapsed:  200.2 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   41 | pre-training avg score = 2335.100 | loss =  148.651 | mse =  148.651 | dataset size =   72265 | new dataset size =   12052 | time elapsed:  198.2 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   42 | pre-training avg score = 2075.100 | loss =  171.286 | mse =  171.286 | dataset size =   72247 | new dataset size =   12040 | time elapsed:  200.1 sec | coef = [1.0, 0.5, 1.0, 0.2001953125] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
