input shapes: (-1, 20, 10, 1) (1, 46) 
 [height_sum, hole_sum, combo, is_hold, 6 * 7 type] -> length = 43 
outer =   24 | pre-training avg score =  315.800 | loss = 2870.145 | mse = 2870.145 | dataset size =   72250 | new dataset size =   12038 | time elapsed:  190.7 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   25 | pre-training avg score =  228.671 | loss = 2923.595 | mse = 2923.595 | dataset size =   72258 | new dataset size =   12043 | time elapsed:  193.8 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   26 | pre-training avg score =  215.656 | loss = 2982.367 | mse = 2982.367 | dataset size =   72291 | new dataset size =   12054 | time elapsed:  192.3 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   27 | pre-training avg score =  191.337 | loss = 3023.415 | mse = 3023.415 | dataset size =   72261 | new dataset size =   12042 | time elapsed:  191.4 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   28 | pre-training avg score =  193.837 | loss = 2978.112 | mse = 2978.112 | dataset size =   72259 | new dataset size =   12040 | time elapsed:  190.1 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   29 | pre-training avg score =  186.733 | loss = 2837.838 | mse = 2837.838 | dataset size =   72265 | new dataset size =   12043 | time elapsed:  191.0 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   30 | pre-training avg score =  195.656 | loss = 3099.913 | mse = 3099.913 | dataset size =   72215 | new dataset size =   12030 | time elapsed:  190.6 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   31 | pre-training avg score =  253.850 | loss = 3146.994 | mse = 3146.994 | dataset size =   72233 | new dataset size =   12040 | time elapsed:  191.8 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   32 | pre-training avg score =  225.100 | loss = 3254.520 | mse = 3254.520 | dataset size =   72251 | new dataset size =   12046 | time elapsed:  190.9 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   33 | pre-training avg score =  196.767 | loss = 3366.302 | mse = 3366.302 | dataset size =   72260 | new dataset size =   12048 | time elapsed:  192.0 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   34 | pre-training avg score =  223.850 | loss = 3201.740 | mse = 3201.740 | dataset size =   72263 | new dataset size =   12043 | time elapsed:  191.7 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   35 | pre-training avg score =  203.825 | loss = 3415.980 | mse = 3415.980 | dataset size =   72248 | new dataset size =   12037 | time elapsed:  191.7 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   36 | pre-training avg score =  205.100 | loss = 3335.884 | mse = 3335.884 | dataset size =   72221 | new dataset size =   12031 | time elapsed:  191.4 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   37 | pre-training avg score =  185.622 | loss = 3200.814 | mse = 3200.814 | dataset size =   72243 | new dataset size =   12044 | time elapsed:  191.2 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   38 | pre-training avg score =  186.733 | loss = 3294.716 | mse = 3294.716 | dataset size =   72265 | new dataset size =   12051 | time elapsed:  192.1 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   39 | pre-training avg score =  217.575 | loss = 3293.015 | mse = 3293.015 | dataset size =   72228 | new dataset size =   12034 | time elapsed:  192.9 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   40 | pre-training avg score =  203.837 | loss = 3058.171 | mse = 3058.171 | dataset size =   72225 | new dataset size =   12032 | time elapsed:  191.2 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
